City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Rikitea,PF,79.65,light rain,-23.1203,-134.9692,People ThankYou
3,Carnarvon,AU,77.07,clear sky,-24.8667,113.6333,Hospitality Carnarvon
4,Kruisfontein,ZA,74.73,few clouds,-34.0033,24.7314,Oyster Bay House Rental
6,Bengkulu,ID,77.85,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
7,Alta Floresta,BR,87.62,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
9,Butaritari,KI,79.88,light rain,3.0707,172.7902,Isles Sunset Lodge
12,Piney Green,US,79.02,scattered clouds,34.716,-77.3202,Holiday City Mobile Home Community
14,Avarua,CK,75.25,few clouds,-21.2078,-159.775,Paradise Inn
16,Port Elizabeth,ZA,78.31,few clouds,-33.918,25.5701,39 On Nile Guest House
18,Kirakira,SB,81.23,overcast clouds,-10.4544,161.9205,SanBiz Lodge
19,Hilo,US,71.33,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
21,Richards Bay,ZA,75.54,few clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
22,Vaini,TO,74.89,moderate rain,-21.2,-175.2,Keleti Beach Resort
23,Faanui,PF,82.76,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
27,Aden,YE,79.34,clear sky,12.7794,45.0367,Sama Emirate Hotel
30,Port Blair,IN,77.04,drizzle,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
37,Banda Aceh,ID,80.31,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
39,Puerto Leguizamo,CO,79.75,overcast clouds,-0.1934,-74.7819,la casona de juancho
45,Hobyo,SO,80.13,scattered clouds,5.3505,48.5268,Iftin hotel hobyo
47,Bredasdorp,ZA,75.49,few clouds,-34.5322,20.0403,Bredasdorp Country Manor
48,Namatanai,PG,80.08,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
49,Bodden Town,KY,84.99,few clouds,19.2833,-81.25,Will T Place
52,Cayon,KN,81.93,few clouds,17.35,-62.7333,Ottley's Plantation Inn
53,Alofi,NU,75.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
54,Hermanus,ZA,78.8,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
56,Atuona,PF,78.08,light rain,-9.8,-139.0333,Villa Enata
57,Saint Simons,US,76.01,clear sky,31.1352,-81.3901,"Holiday Inn Express Saint Simons Island, an IHG Hotel"
58,Natal,BR,81.25,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
59,Almeirim,BR,79.16,overcast clouds,-1.5233,-52.5817,Ricácio Hotel
62,Georgetown,MY,85.95,light rain,5.4112,100.3354,Cititel Penang
66,Sola,VU,74.07,broken clouds,-13.8833,167.55,Leumerus Bungalows
67,Chato,TZ,78.6,broken clouds,-2.6378,31.7669,Morning Star Inn
70,Beruwala,LK,78.87,few clouds,6.4788,79.9828,The Palms Hotel
73,Lorengau,PG,82.6,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
74,Isangel,VU,80.01,overcast clouds,-19.55,169.2667,Tanna Lodge
75,Cabo San Lucas,MX,74.52,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
76,Mosetse,BW,78.44,overcast clouds,-20.75,26.65,
78,Saint-Philippe,RE,80.22,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
82,Victoria,HK,76.17,clear sky,22.2855,114.1577,Mini Hotel Central
83,Iturama,BR,85.17,broken clouds,-19.7281,-50.1956,República DominaCana
84,Kavaratti,IN,83.53,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
85,Cape Town,ZA,88.12,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
89,Kavieng,PG,82.78,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
90,Khandbari,NP,72.77,scattered clouds,27.3747,87.2039,Sainik Hotel And Lodge
91,Hervey Bay,AU,72.95,scattered clouds,-25.2986,152.8535,Shelly Bay Resort
92,Kimbe,PG,78.76,light rain,-5.5502,150.1429,Kimbe Bay Hotel
94,Kapaa,US,73.72,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
99,Vila Velha,BR,87.94,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
101,Constitucion,CL,70.18,broken clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
104,Puerto Suarez,BO,75.76,moderate rain,-18.95,-57.8,Hotel casa real
107,Kawalu,ID,73.33,overcast clouds,-7.3817,108.2082,West Jontor
108,Touros,BR,86.16,moderate rain,-5.1989,-35.4608,INN NEW HORIZON
118,East London,ZA,76.14,clear sky,-33.0153,27.9116,Tu Casa
125,Sao Filipe,CV,70.92,few clouds,14.8961,-24.4956,Hotel Xaguate
126,Palu,ID,75.99,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
127,Pemba,MZ,84.9,thunderstorm,-12.974,40.5178,Guesthouse Samotina
129,Bambous Virieux,MU,82.22,light rain,-20.3428,57.7575,Casa Tia Villa
137,Acapulco,MX,76.82,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
138,Lindi,TZ,80.53,light rain,-10.0,39.7167,Lindi paradise house
141,Aitape,PG,80.6,broken clouds,-3.1374,142.3475,
143,Chone,EC,73.02,very heavy rain,-0.6833,-80.1,Ciudadela Gonzalez
145,Pochutla,MX,85.82,clear sky,15.7432,-96.4661,Hotel Posada San Jose
148,Geraldton,AU,75.61,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
150,Myanaung,MM,83.64,scattered clouds,18.2833,95.3167,Taung Hlay Khar
154,Saint-Pierre,RE,81.91,scattered clouds,-21.3393,55.4781,Lindsey Hôtel
158,Careiro Da Varzea,BR,83.03,overcast clouds,-3.2003,-59.8119,POUSADA DA ALDENORA
159,Manacapuru,BR,82.45,overcast clouds,-3.2997,-60.6206,Novo Hotel
163,Tura,IN,77.27,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
164,Savannah Bight,HN,80.31,overcast clouds,16.45,-85.85,Villa on Dunbar Rock
167,Taoudenni,ML,89.96,broken clouds,22.6783,-3.9836,
168,Inirida,CO,81.66,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
170,Ugoofaaru,MV,83.39,clear sky,5.6667,73.0,Ungoofaaru Inn
173,Saldanha,ZA,87.85,few clouds,-33.0117,17.9442,Blue Bay Lodge
175,Ende,ID,78.39,overcast clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
176,Nanakuli,US,74.71,broken clouds,21.3906,-158.1547,Camp Pālehua
184,Vao,NC,73.96,light rain,-22.6667,167.4833,Hotel Kou-Bugny
187,Hithadhoo,MV,84.07,few clouds,-0.6,73.0833,Scoop Guest House
188,Puerto Ayora,EC,85.96,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
193,Gamba,GA,84.04,overcast clouds,-2.65,10.0,
195,Ibra,OM,80.51,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
197,Port Keats,AU,83.41,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
198,Rulenge,TZ,73.69,light rain,-2.7175,30.6325,
204,Nhulunbuy,AU,81.21,few clouds,-12.2333,136.7667,East Arnhem Real Estate
205,Mahibadhoo,MV,83.08,clear sky,3.7833,72.9667,Omadhoo Inn
207,Bandarbeyla,SO,79.12,clear sky,9.4942,50.8122,JABIR HOTEL
208,Marzuq,YE,76.03,clear sky,14.4,46.4667,
215,Tapes,BR,70.7,overcast clouds,-30.6733,-51.3958,Cabanas Camping Union
216,Saint-Joseph,RE,79.21,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
219,Kanker,IN,84.36,overcast clouds,20.2719,81.4931,STARiHOTEL Kanker
221,Pedernales,DO,84.18,broken clouds,18.0384,-71.744,Hotel Costa Marina
223,Poum,NC,76.14,light rain,-20.2333,164.0167,
227,Zhuhai,CN,77.86,scattered clouds,22.2769,113.5678,珠海粤财假日酒店
229,Kloulklubed,PW,77.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
230,Oriximina,BR,78.4,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
233,Portobelo,PA,82.72,scattered clouds,9.55,-79.65,Scuba Portobelo
237,Alyangula,AU,76.87,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
238,Pasighat,IN,77.83,clear sky,28.0667,95.3333,Siang Guest House
239,Pouembout,NC,74.28,overcast clouds,-21.1333,164.9,Camping de Tipenga
240,Beloha,MG,71.89,few clouds,-25.1667,45.05,
241,Saint Pete Beach,US,82.24,broken clouds,27.7253,-82.7412,Grand Plaza Hotel - St. Pete Beach
242,Florianopolis,BR,80.35,broken clouds,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
250,Port Alfred,ZA,75.81,overcast clouds,-33.5906,26.891,The Halyards Hotel
251,Kahului,US,73.85,overcast clouds,20.8947,-156.47,Maui Seaside Hotel
252,Mahebourg,MU,82.26,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
255,Maues,BR,85.53,overcast clouds,-3.3836,-57.7186,Hotel Miramar
259,Sao Joao Da Barra,BR,89.69,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
263,Gizo,SB,82.85,overcast clouds,-8.103,156.8419,Imagination Island
268,Adrar,MR,86.23,broken clouds,20.5022,-10.0711,
274,Vila Do Maio,CV,75.99,scattered clouds,15.1333,-23.2167,Hotel Marilu
275,Zambezi,ZM,75.81,light rain,-13.5432,23.1047,Royal Kutachika Lodge
276,Port Augusta,AU,81.75,scattered clouds,-32.5,137.7667,Majestic Oasis Apartments
280,Qui Nhon,VN,76.26,overcast clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
281,Namibe,AO,85.39,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
283,Bubaque,GW,77.18,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
285,Takoradi,GH,85.78,light rain,4.8845,-1.7554,Raybow International Hotel
288,San Isidro,PE,70.5,overcast clouds,-12.1167,-77.05,Radisson Hotel Decapolis Miraflores
290,Sirawai,PH,80.2,broken clouds,7.5854,122.1407,Santo Niño Beach
294,Kununurra,AU,82.38,overcast clouds,-15.7667,128.7333,Hotel Kununurra
296,Mayo,US,70.52,scattered clouds,38.8876,-76.5119,Resorts Resource Group International
297,Along,IN,71.92,clear sky,28.1667,94.7667,Hotel West
301,Tabou,CI,84.18,light rain,4.423,-7.3528,hotêl doufoulougou
310,Pitimbu,BR,88.39,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
311,El Fuerte,MX,70.84,clear sky,26.4189,-108.6194,Hotel Rio Vista
312,Kapit,MY,73.8,moderate rain,2.0167,112.9333,Hotel Meligai Kapit
314,Tsogni,GA,83.05,overcast clouds,-2.7942,10.0988,
315,Bikapur,IN,84.61,clear sky,26.6,82.1333,Hotel Tirupati
317,Awash,ET,87.28,broken clouds,8.9833,40.1667,Kediga hotel
319,Kalmunai,LK,77.88,broken clouds,7.4167,81.8167,VS Villa
320,Narok,KE,75.78,broken clouds,-1.0783,35.8601,OLORROPIL TOWERS
322,Nalut,LY,75.54,clear sky,30.3333,10.85,
324,Riyadh,SA,77.14,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
328,Champerico,GT,86.54,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
336,Hurghada,EG,71.64,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
339,Tual,ID,84.92,broken clouds,-5.6667,132.75,Grand Vilia Hotel
340,Tabat,ID,74.93,light rain,-2.635,115.2274,
344,Kang,BW,78.3,scattered clouds,-23.6752,22.7876,Kang Ultra Stop
346,Mwingi,KE,85.5,broken clouds,-0.9344,38.0601,Thorn Tree by The Address
348,Atambua,ID,74.39,overcast clouds,-9.1061,124.8925,Kost Alfa Flat
349,Kota Kinabalu,MY,76.98,few clouds,5.9749,116.0724,Gaya Centre Hotel
350,Jati,PK,82.69,clear sky,24.3539,68.2671,Cafe Lala Rehan Restaurant
361,Cururupu,BR,78.71,moderate rain,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
364,Alvaraes,BR,85.87,overcast clouds,-3.2208,-64.8042,Av. Castelo Branco. Ginásio Ermelino vieira.
368,Auki,SB,77.4,overcast clouds,-8.7676,160.7034,Auki Motel
370,Boa Vista,BR,82.38,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
378,Serowe,BW,78.21,scattered clouds,-22.3833,26.7167,Hill View Inn
380,Aswan,EG,82.81,clear sky,24.0934,32.907,Nuba Nile
384,Esmeraldas,BR,87.91,clear sky,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
386,Harper,LR,84.87,light rain,4.375,-7.7169,Screensaver
387,A Coruna,ES,70.52,few clouds,43.3713,-8.396,Hotel Zenit Coruña
388,Puerto Escondido,MX,81.43,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
390,Kuching,MY,75.42,scattered clouds,1.55,110.3333,Hilton Kuching
395,San Jose De Rio Tinto,HN,83.77,overcast clouds,14.9333,-85.7,PARQUE ECOTURISTICO QUILIZ
396,Padang,ID,79.54,light rain,-0.9492,100.3543,Mercure Padang
397,Mogadishu,SO,80.44,few clouds,2.0371,45.3438,Hotel Juba
398,Sehithwa,BW,78.82,overcast clouds,-20.4667,22.7167,MONLEK GUEST HOUSE
400,Souillac,MU,79.18,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
402,Sao Joao Do Piaui,BR,88.74,overcast clouds,-8.3581,-42.2467,Nayra Palace Hotel
404,Hambantota,LK,80.94,few clouds,6.1241,81.1185,Bungalow 63
407,Salvador,SV,81.0,overcast clouds,13.8333,-88.9167,Chico's Ranch
408,Buraydah,SA,82.85,clear sky,26.326,43.975,Mövenpick Qassim
409,Yulara,AU,85.84,scattered clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
412,Menongue,AO,72.77,overcast clouds,-14.6585,17.691,Ritz Lauca
415,Garowe,SO,87.93,clear sky,8.4054,48.4845,Curubo Hotel
417,Aripuana,BR,79.84,overcast clouds,-9.1667,-60.6333,
418,Borba,BR,86.23,overcast clouds,-4.3878,-59.5939,Hotel da Amazônia
420,Atar,MR,89.96,clear sky,20.5169,-13.0499,Oumou Elghoura
422,Tevaitoa,PF,82.6,clear sky,-16.7833,-151.5,Hôtel Raiatea Lodge
429,Mugumu,TZ,71.69,light rain,-1.85,34.7,Lemala Mara
432,Sao Jose Da Coroa Grande,BR,84.0,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
438,Manta,EC,76.78,light rain,-0.95,-80.7333,Balandra Hotel
440,Bacong,PH,79.95,overcast clouds,9.2464,123.2956,Sta Monica Beach Club
444,Tambopata,PE,78.69,moderate rain,-12.7333,-69.1833,
445,Rio Grande,BR,73.51,broken clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
452,Buala,SB,80.92,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
456,Correntina,BR,84.02,scattered clouds,-13.3433,-44.6367,Hotel Pousada dos Sonhos
458,Voh,NC,74.1,overcast clouds,-20.9667,164.7,Le gîte du Koniambo
461,Raub,MY,75.94,broken clouds,3.7899,101.857,Daniels Guest House Raub
463,Cockburn Town,TC,78.58,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
464,Santa Isabel Do Rio Negro,BR,78.87,overcast clouds,-0.4139,-65.0192,Hotel GSA
465,Mitzic,GA,86.5,broken clouds,0.7821,11.549,Motel Emys
468,Chisec,GT,82.63,scattered clouds,15.8167,-90.2833,Hotel Estancia De La Virgen
469,Jacareacanga,BR,82.6,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
472,Mpanda,TZ,74.68,light rain,-6.3655,31.0409,CH Hotel - Mpanda
473,Siuna,NI,73.98,overcast clouds,13.7332,-84.7773,hotel los chinitos
475,Ambilobe,MG,76.96,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
476,Tautira,PF,81.99,scattered clouds,-17.7333,-149.15,Pension Oaoa
487,Salalah,OM,83.26,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
489,Beira,MZ,82.49,broken clouds,-19.8436,34.8389,Beira Terrace Hotel
491,Gold Coast,AU,73.0,overcast clouds,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
494,Niquero,CU,82.78,clear sky,20.0431,-77.5828,Islazul Niquero
500,Matara,LK,78.1,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
501,Fuerte Olimpo,PY,80.17,overcast clouds,-21.0415,-57.8738,Hospedaje DAMI
502,Mbanza-Ngungu,CD,81.79,light rain,-5.25,14.8667,Hotel Full Business
505,Pital,CO,75.61,overcast clouds,2.2665,-75.8044,Finca el Rebaño Vida el Uvital
506,Hualmay,PE,73.76,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
508,Kudahuvadhoo,MV,83.97,clear sky,2.6708,72.8944,Niyama Private Islands Maldives
509,Pisco,PE,71.65,mist,-13.7,-76.2167,Hotel San Isidro Oficial
512,Madimba,TZ,81.75,overcast clouds,-10.4,40.3333,
516,Kokopo,PG,77.63,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
520,Hirna,ET,74.37,overcast clouds,9.2167,41.1,Seid Ali
532,Kyaka,TZ,79.7,scattered clouds,-1.2522,31.4203,Katekele business group
534,Ngawen,ID,75.06,overcast clouds,-7.0032,111.3129,Bu Sarpi serabi
537,Najran,SA,75.85,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
538,Bima,ID,76.44,overcast clouds,-8.4667,118.7167,Lambitu Hotel
544,Nabire,ID,76.5,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
545,Bathsheba,BB,83.01,broken clouds,13.2167,-59.5167,Atlantis Hotel
546,Tutoia,BR,81.52,overcast clouds,-2.7619,-42.2744,Pousada Guará's
548,Mareeba,AU,74.12,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
550,Itarema,BR,86.02,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
551,Virginia Beach,US,74.01,scattered clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
552,Srivardhan,IN,79.47,clear sky,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
553,Sibu,MY,75.51,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
554,Jatai,BR,82.8,clear sky,-17.8814,-51.7144,Hotel Califórnia
555,Ondjiva,AO,85.32,overcast clouds,-17.0667,15.7333,COMBUESA
556,Dzilam Gonzalez,MX,84.83,few clouds,21.2833,-88.9333,posadas
558,Coolum Beach,AU,71.11,light rain,-26.5333,153.1,Coolum Beach Resort
560,Charters Towers,AU,72.45,few clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
562,Coracao De Jesus,BR,86.45,clear sky,-16.6853,-44.365,Hotel Neves
564,Presidencia Roque Saenz Pena,AR,75.83,clear sky,-26.7852,-60.4388,Hotel Gualok
567,Caravelas,BR,85.84,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
570,Veraval,IN,78.4,clear sky,20.9,70.3667,Lords Inn Somnath
574,Weligama,LK,78.48,overcast clouds,5.9667,80.4167,Weligama Bay Resort
580,Gua Musang,MY,74.03,overcast clouds,4.8823,101.9644,Mines Inn Hotel
581,Karaton,ID,75.16,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
583,Mitsamiouli,KM,86.29,light rain,-11.3847,43.2844,Foyer ADM
586,Olinda,BR,85.73,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
588,Lahat,ID,74.48,heavy intensity rain,-3.8,103.5333,Hotel Grand Zuri Lahat by ZHM
590,Mundo Nuevo,MX,73.8,overcast clouds,18.7,-95.5,
591,Knysna,ZA,73.78,clear sky,-34.0363,23.0471,Protea Hotel by Marriott Knysna Quays
592,Pedro Carbo,EC,75.6,light rain,-1.8333,-80.2333,Centro turístico y hostería oasis pedro carbo
598,Goma,CD,70.18,broken clouds,-1.6792,29.2228,"Goma, CENTRE D'ACCUEIL CARITAS"
600,Maralal,KE,72.54,broken clouds,1.0968,36.698,Ngari Hill Ecolodge
601,Quatre Cocos,MU,82.09,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
607,Havelock,US,75.97,scattered clouds,34.8791,-76.9013,Sherwood Motel
610,Filadelfia,US,70.27,scattered clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
616,Port-Gentil,GA,80.56,few clouds,-0.7193,8.7815,Fengshui Residence
617,Noumea,NC,75.18,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
618,Cape Canaveral,US,83.08,broken clouds,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
619,Waddan,LY,81.12,scattered clouds,29.1614,16.139,محل الشريف محمد العايب
621,Broken Hill,AU,73.11,clear sky,-31.95,141.4333,Royal Exchange Hotel
623,Jaisalmer,IN,89.91,clear sky,26.9147,70.9181,Hotel Fifu
624,Paranaiba,BR,89.76,broken clouds,-19.6772,-51.1908,Villa Rica Park Hotel GMR
625,Imbituba,BR,79.83,overcast clouds,-28.24,-48.6703,Praia Hotel Imbituba
626,Lucea,JM,81.86,few clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
627,Kibungo,RW,79.72,overcast clouds,-2.1597,30.5427,Kibungo - Centre St. Joseph Guest House
628,Elizabeth City,US,74.01,overcast clouds,36.2946,-76.2511,Hampton Inn Elizabeth City
630,Kefamenanu,ID,71.28,overcast clouds,-9.4467,124.4781,Sokowindo Losmen
633,Phan Thiet,VN,77.56,overcast clouds,10.9333,108.1,Hotel Saigon-PT
635,Owando,CG,89.02,broken clouds,-0.4819,15.8999,Exaunel Hotel Owando
641,Soyo,AO,82.67,scattered clouds,-6.1349,12.3689,Hotel Mpampa
642,Munger,IN,85.6,few clouds,25.3833,86.4667,Raj Palace
647,Chirongui,YT,85.93,light rain,-12.9319,45.1483,La Villa Mahatsara
651,Belmonte,BR,83.79,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
658,Samarai,PG,83.16,overcast clouds,-10.6167,150.6667,Nuli Sapi
659,Moranbah,AU,70.47,clear sky,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
662,Akom,CM,83.8,broken clouds,2.6678,12.7109,Complexe Hôtelier Jeannette
663,Cunha,BR,86.74,broken clouds,-23.0744,-44.9597,Pousada Calu
665,Itirapina,BR,82.99,overcast clouds,-22.2528,-47.8228,Pousada Paraíso das Aguas
666,Sinnamary,GF,79.88,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
669,San Cristobal,VE,73.58,overcast clouds,7.7669,-72.225,Pirineos
676,Parrita,CR,85.19,overcast clouds,9.5201,-84.3225,Beso del Viento
681,Meulaboh,ID,76.89,overcast clouds,4.1363,96.1285,Kost Pria
