City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Klaksvik,FO,62.2266,-6.589,49.12,78,94,28.7,overcast clouds
1,Shahreza,IR,32.0339,51.8794,55.83,27,0,5.17,clear sky
2,Rikitea,PF,-23.1203,-134.9692,79.65,76,7,8.48,light rain
3,Carnarvon,AU,-24.8667,113.6333,77.07,88,5,9.22,clear sky
4,Kruisfontein,ZA,-34.0033,24.7314,74.73,70,12,13.62,few clouds
5,Jamestown,US,42.097,-79.2353,56.71,69,100,8.05,light rain
6,Bengkulu,ID,-3.8004,102.2655,77.85,87,99,4.54,overcast clouds
7,Alta Floresta,BR,-9.8756,-56.0861,87.62,66,40,3.44,scattered clouds
8,Barrow,US,71.2906,-156.7887,-14.78,76,100,9.22,overcast clouds
9,Butaritari,KI,3.0707,172.7902,79.88,83,42,18.16,light rain
10,Lebu,CL,-37.6167,-73.65,62.04,47,91,11.5,overcast clouds
11,Hobart,AU,-42.8794,147.3294,55.26,88,14,9.22,few clouds
12,Piney Green,US,34.716,-77.3202,79.02,59,40,13.8,scattered clouds
13,Kaitangata,NZ,-46.2817,169.8464,47.97,96,19,3.8,few clouds
14,Avarua,CK,-21.2078,-159.775,75.25,88,20,3.44,few clouds
15,Punta Arenas,CL,-53.15,-70.9167,50.02,66,40,16.11,scattered clouds
16,Port Elizabeth,ZA,-33.918,25.5701,78.31,80,20,12.66,few clouds
17,Sistranda,NO,63.7256,8.834,49.96,68,97,34.83,overcast clouds
18,Kirakira,SB,-10.4544,161.9205,81.23,82,100,5.99,overcast clouds
19,Hilo,US,19.7297,-155.09,71.33,90,100,8.05,overcast clouds
20,Mataura,NZ,-46.1927,168.8643,47.48,99,19,2.15,few clouds
21,Richards Bay,ZA,-28.783,32.0377,75.54,61,16,10.63,few clouds
22,Vaini,TO,-21.2,-175.2,74.89,84,100,30.29,moderate rain
23,Faanui,PF,-16.4833,-151.75,82.76,71,2,17.25,clear sky
24,Ancud,CL,-41.8697,-73.8203,55.74,59,100,3.13,overcast clouds
25,Nanortalik,GL,60.1432,-45.2371,19.26,81,49,11.36,scattered clouds
26,Busselton,AU,-33.65,115.3333,66.65,51,100,14.92,light rain
27,Aden,YE,12.7794,45.0367,79.34,67,1,7.67,clear sky
28,Albany,US,42.6001,-73.9662,60.73,87,100,1.99,overcast clouds
29,Ribeira Grande,PT,38.5167,-28.7,57.6,58,75,9.22,broken clouds
30,Port Blair,IN,11.6667,92.75,77.04,94,100,5.75,drizzle
31,Yarovoye,RU,52.9273,78.58,3.33,100,81,5.5,broken clouds
32,Ushuaia,AR,-54.8,-68.3,42.46,70,20,5.75,few clouds
33,Camacha,PT,33.0833,-16.3333,60.22,59,75,10.36,broken clouds
34,Qaanaaq,GL,77.484,-69.3632,-6.97,93,100,6.24,overcast clouds
35,Clyde River,CA,70.4692,-68.5914,-19.97,76,75,3.44,broken clouds
36,Tiksi,RU,71.6872,128.8694,7.45,78,100,25.19,overcast clouds
37,Banda Aceh,ID,5.5577,95.3222,80.31,79,100,14.94,overcast clouds
38,Walvis Bay,NA,-22.9575,14.5053,67.08,62,29,13.11,scattered clouds
39,Puerto Leguizamo,CO,-0.1934,-74.7819,79.75,85,96,4.88,overcast clouds
40,Provideniya,RU,64.3833,-173.3,-1.88,69,0,6.2,clear sky
41,Ponta Do Sol,PT,32.6667,-17.1,65.03,73,58,11.65,broken clouds
42,Bluff,NZ,-46.6,168.3333,47.8,93,26,9.86,scattered clouds
43,Kenai,US,60.5544,-151.2583,30.15,92,0,4.61,clear sky
44,Chokurdakh,RU,70.6333,147.9167,-21.41,100,69,5.48,broken clouds
45,Hobyo,SO,5.3505,48.5268,80.13,65,33,14.81,scattered clouds
46,Khatanga,RU,71.9667,102.5,10,97,97,4.9,light snow
47,Bredasdorp,ZA,-34.5322,20.0403,75.49,69,12,15.88,few clouds
48,Namatanai,PG,-3.6667,152.4333,80.08,78,90,8.79,overcast clouds
49,Bodden Town,KY,19.2833,-81.25,84.99,61,20,9.22,few clouds
50,Hasaki,JP,35.7333,140.8333,41.4,87,100,18.99,overcast clouds
51,Airai,TL,-8.9266,125.4092,60.98,95,100,2.08,overcast clouds
52,Cayon,KN,17.35,-62.7333,81.93,65,20,19.57,few clouds
53,Alofi,NU,-19.0595,-169.9187,75.09,88,100,2.3,overcast clouds
54,Hermanus,ZA,-34.4187,19.2345,78.8,65,0,21.99,clear sky
55,Inuvik,CA,68.3499,-133.7218,-10.34,77,100,10.36,light snow
56,Atuona,PF,-9.8,-139.0333,78.08,79,16,18.3,light rain
57,Saint Simons,US,31.1352,-81.3901,76.01,71,0,17.27,clear sky
58,Natal,BR,-5.795,-35.2094,81.25,94,75,14.97,broken clouds
59,Almeirim,BR,-1.5233,-52.5817,79.16,83,98,2.48,overcast clouds
60,Severo-Kurilsk,RU,50.6789,156.125,32.72,98,100,16.4,light snow
61,Cazones,MX,20.7167,-97.3167,67.8,100,100,11.5,mist
62,Georgetown,MY,5.4112,100.3354,85.95,87,20,6.91,light rain
63,Faya,SA,18.3851,42.4509,66.31,56,2,8.14,clear sky
64,Palana,RU,59.1167,159.9667,17.65,84,99,6.38,overcast clouds
65,Broome,US,42.2506,-75.833,63.37,78,20,9.22,few clouds
66,Sola,VU,-13.8833,167.55,74.07,94,75,0,broken clouds
67,Chato,TZ,-2.6378,31.7669,78.6,58,77,4.99,broken clouds
68,Pangnirtung,CA,66.1451,-65.7125,-25.6,75,0,3.44,clear sky
69,San Patricio,US,28.017,-97.5169,69.89,45,26,11.32,scattered clouds
70,Beruwala,LK,6.4788,79.9828,78.87,85,21,8.08,few clouds
71,Vardo,NO,70.3705,31.1107,36.72,75,96,36.35,overcast clouds
72,San Rafael,AR,-34.6177,-68.3301,65.79,37,100,8.16,overcast clouds
73,Lorengau,PG,-2.0226,147.2712,82.6,70,39,7.76,scattered clouds
74,Isangel,VU,-19.55,169.2667,80.01,86,95,7.16,overcast clouds
75,Cabo San Lucas,MX,22.8909,-109.9124,74.52,43,20,0,few clouds
76,Mosetse,BW,-20.75,26.65,78.44,45,97,11.27,overcast clouds
77,Luderitz,NA,-26.6481,15.1594,77.97,58,4,11.54,clear sky
78,Saint-Philippe,RE,-21.3585,55.7679,80.22,86,99,7.23,light rain
79,Xanlar,AZ,40.5869,46.3158,36.91,60,75,25.32,broken clouds
80,Bealanana,MG,-14.55,48.7333,68.4,96,81,4.07,moderate rain
81,Ubinskoye,RU,55.3068,79.6802,18.88,95,100,9.19,overcast clouds
82,Victoria,HK,22.2855,114.1577,76.17,88,10,15.01,clear sky
83,Iturama,BR,-19.7281,-50.1956,85.17,61,52,3.11,broken clouds
84,Kavaratti,IN,10.5669,72.642,83.53,68,30,13.76,scattered clouds
85,Cape Town,ZA,-33.9258,18.4232,88.12,60,0,18.41,clear sky
86,Surt,LY,31.2089,16.5887,65.34,48,56,32.73,broken clouds
87,Pasewalk,DE,53.5063,13.99,54.41,53,63,11.03,broken clouds
88,Saskylakh,RU,71.9167,114.0833,9.39,97,100,5.53,overcast clouds
89,Kavieng,PG,-2.5744,150.7967,82.78,70,100,14.85,overcast clouds
90,Khandbari,NP,27.3747,87.2039,72.77,45,31,1.74,scattered clouds
91,Hervey Bay,AU,-25.2986,152.8535,72.95,71,33,11.48,scattered clouds
92,Kimbe,PG,-5.5502,150.1429,78.76,89,90,0.89,light rain
93,Sosnovo-Ozerskoye,RU,52.5249,111.5418,-9.63,97,17,5.01,few clouds
94,Kapaa,US,22.0752,-159.319,73.72,78,75,14.97,light rain
95,San Lawrenz,MT,36.0553,14.204,53.85,82,100,8.99,overcast clouds
96,Norman Wells,CA,65.282,-126.8329,-12.96,77,75,2.3,broken clouds
97,Malakal,SS,9.5334,31.6605,99.66,13,27,3.87,scattered clouds
98,Husavik,IS,66.0449,-17.3389,40.35,97,100,13.71,light rain
99,Vila Velha,BR,-20.3297,-40.2925,87.94,67,40,9.22,scattered clouds
100,Chuy,UY,-33.6971,-53.4616,67.35,42,41,14.2,scattered clouds
101,Constitucion,CL,-35.3333,-72.4167,70.18,38,75,7.87,broken clouds
102,Inza,RU,53.8533,46.3586,23.29,94,21,5.23,few clouds
103,Pevek,RU,69.7008,170.3133,-10.64,76,20,11.41,few clouds
104,Puerto Suarez,BO,-18.95,-57.8,75.76,73,0,17.27,moderate rain
105,Grindavik,IS,63.8424,-22.4338,32.47,100,100,17.27,light snow
106,Zhaozhou,CN,45.6833,125.3167,17.19,83,12,2.64,few clouds
107,Kawalu,ID,-7.3817,108.2082,73.33,95,100,1.34,overcast clouds
108,Touros,BR,-5.1989,-35.4608,86.16,61,100,11.21,moderate rain
109,Chapais,CA,49.7834,-74.8492,26.38,75,100,10.04,overcast clouds
110,Narsaq,GL,60.9167,-46.05,23.22,66,76,2.21,broken clouds
111,Tuktoyaktuk,CA,69.4541,-133.0374,-11.2,77,75,16.11,broken clouds
112,Nichinan,JP,31.6,131.3667,47.34,69,94,10.89,overcast clouds
113,Krasnoarmeysk,RU,51.0239,45.6969,16.34,95,96,5.48,overcast clouds
114,Mar Del Plata,AR,-38.0023,-57.5575,66.22,51,20,11.99,few clouds
115,Gazanjyk,TM,39.2446,55.5154,49.39,38,97,18.92,overcast clouds
116,Castro,BR,-24.7911,-50.0119,65.86,96,100,1.7,overcast clouds
117,Cap-Aux-Meules,CA,47.3821,-61.8597,32.05,69,75,9.22,broken clouds
118,East London,ZA,-33.0153,27.9116,76.14,83,0,4.61,clear sky
119,Tasiilaq,GL,65.6145,-37.6368,24.96,70,99,6.31,overcast clouds
120,Yellowknife,CA,62.456,-114.3525,12.72,92,100,3.44,light snow
121,Puksoozero,RU,62.5903,40.6066,31.41,88,44,10.87,scattered clouds
122,Valdemarpils,LV,57.3707,22.5919,43.18,61,9,4.45,clear sky
123,Hirara,JP,24.8,125.2833,68.41,74,89,18.43,overcast clouds
124,Vila Franca Do Campo,PT,37.7167,-25.4333,58.19,55,32,16.17,scattered clouds
125,Sao Filipe,CV,14.8961,-24.4956,70.92,71,20,13.18,few clouds
126,Palu,ID,-0.8917,119.8707,75.99,96,100,1.41,overcast clouds
127,Pemba,MZ,-12.974,40.5178,84.9,79,75,11.5,thunderstorm
128,Tavrichanka,RU,43.3378,131.8639,21.06,75,74,8.97,broken clouds
129,Bambous Virieux,MU,-20.3428,57.7575,82.22,94,75,2.3,light rain
130,Dikson,RU,73.5069,80.5464,7.47,99,100,6.73,overcast clouds
131,Kargasok,RU,59.0556,80.8572,26.62,93,100,11.65,overcast clouds
132,Deputatskiy,RU,69.3,139.9,-15.63,94,31,3.49,scattered clouds
133,Westport,US,41.1415,-73.3579,59.09,97,100,3,overcast clouds
134,Iqaluit,CA,63.7506,-68.5145,-16.31,68,0,10.36,clear sky
135,Tucuman,AR,-26.8241,-65.2226,64.4,77,100,2.3,overcast clouds
136,Cidreira,BR,-30.1811,-50.2056,68.58,82,100,12.06,overcast clouds
137,Acapulco,MX,16.8634,-99.8901,76.82,78,20,4.61,few clouds
138,Lindi,TZ,-10,39.7167,80.53,92,94,3.06,light rain
139,Issoire,FR,45.55,3.25,58.26,49,100,6.11,overcast clouds
140,Yuzha,RU,56.5831,42.0122,29.95,94,15,4.79,few clouds
141,Aitape,PG,-3.1374,142.3475,80.6,82,56,3.22,broken clouds
142,Ossora,RU,59.2353,163.0719,25.43,98,100,3.78,light snow
143,Chone,EC,-0.6833,-80.1,73.02,99,100,2.42,very heavy rain
144,Mizque,BO,-17.941,-65.3402,66.67,75,99,6.58,overcast clouds
145,Pochutla,MX,15.7432,-96.4661,85.82,42,0,3.51,clear sky
146,Sikasso,ML,10.9167,-7,104.79,17,53,2.04,broken clouds
147,Batagay,RU,67.6333,134.6333,-11.83,97,53,4.68,broken clouds
148,Geraldton,AU,-28.7667,114.6,75.61,83,70,11.5,broken clouds
149,Nikolskoye,RU,59.7035,30.7861,37.87,90,82,5.17,broken clouds
150,Myanaung,MM,18.2833,95.3167,83.64,50,32,4.81,scattered clouds
151,Tamale,GH,9.4008,-0.8393,101.71,22,93,4.12,overcast clouds
152,Kyzyl-Suu,KG,42.3414,78.0056,32.11,90,100,6.33,light snow
153,Vuktyl,RU,63.8567,57.3094,31.44,90,100,11.48,overcast clouds
154,Saint-Pierre,RE,-21.3393,55.4781,81.91,90,40,4.61,scattered clouds
155,Te Anau,NZ,-45.4167,167.7167,49.14,95,21,1.81,few clouds
156,Marsa Matruh,EG,31.3525,27.2453,52.11,59,58,20.89,broken clouds
157,Uray,RU,60.1247,64.7758,31.64,93,94,8.72,overcast clouds
158,Careiro Da Varzea,BR,-3.2003,-59.8119,83.03,71,98,5.97,overcast clouds
159,Manacapuru,BR,-3.2997,-60.6206,82.45,71,95,5.28,overcast clouds
160,Parker,US,32.7668,-97.8003,61.38,38,0,1.99,clear sky
161,Esperance,AU,-33.8667,121.9,62.44,72,100,12.53,overcast clouds
162,Berlevag,NO,70.8578,29.0864,36.45,73,74,38.16,light rain
163,Tura,IN,25.5198,90.2201,77.27,31,9,4.09,clear sky
164,Savannah Bight,HN,16.45,-85.85,80.31,79,98,22.84,overcast clouds
165,Taltal,CL,-25.4,-70.4833,69.75,73,18,5.28,few clouds
166,Kodiak,US,57.79,-152.4072,35.11,87,75,9.22,moderate rain
167,Taoudenni,ML,22.6783,-3.9836,89.96,10,78,8.86,broken clouds
168,Inirida,CO,3.8653,-67.9239,81.66,74,100,2.8,overcast clouds
169,Avera,US,33.194,-82.5271,68.05,94,100,12.57,overcast clouds
170,Ugoofaaru,MV,5.6667,73,83.39,72,0,15.08,clear sky
171,Fairbanks,US,64.8378,-147.7164,6.76,78,100,0,overcast clouds
172,New Norfolk,AU,-42.7826,147.0587,54.9,68,14,2.89,few clouds
173,Saldanha,ZA,-33.0117,17.9442,87.85,71,19,15.57,few clouds
174,Labytnangi,RU,66.6572,66.4183,27.99,83,100,12.24,overcast clouds
175,Ende,ID,-8.8432,121.6623,78.39,82,100,3.04,overcast clouds
176,Nanakuli,US,21.3906,-158.1547,74.71,80,75,4.61,broken clouds
177,Cherskiy,RU,68.75,161.3,-7.06,82,35,8.99,scattered clouds
178,Upernavik,GL,72.7868,-56.1549,-6.79,73,100,2.73,overcast clouds
179,Masuda,JP,34.6667,131.85,43.9,84,100,10.04,overcast clouds
180,Bethel,US,41.3712,-73.414,57.02,94,100,9.22,mist
181,Arraial Do Cabo,BR,-22.9661,-42.0278,91.36,49,0,17.27,clear sky
182,San Quintin,MX,30.4833,-115.95,59.07,85,19,6.82,few clouds
183,Guerrero Negro,MX,27.9769,-114.0611,60.66,82,0,6.38,clear sky
184,Vao,NC,-22.6667,167.4833,73.96,87,100,9.66,light rain
185,Manica,FR,49,-1.1667,57.25,57,12,11.23,few clouds
186,Oga,IT,46.4631,10.347,47.08,94,100,5.41,overcast clouds
187,Hithadhoo,MV,-0.6,73.0833,84.07,71,21,16.8,few clouds
188,Puerto Ayora,EC,-0.7393,-90.3518,85.96,71,21,2.84,few clouds
189,Sobolevo,RU,54.4299,31.8996,31.75,92,8,3.58,clear sky
190,Nome,US,64.5011,-165.4064,1.47,60,0,16.11,clear sky
191,Brae,GB,60.3964,-1.353,47.82,74,66,20.71,broken clouds
192,Catamarca,AR,-28.4696,-65.7852,65.89,69,46,14.41,scattered clouds
193,Gamba,GA,-2.65,10,84.04,72,87,14.25,overcast clouds
194,Kupino,RU,54.3663,77.2981,7.21,99,75,7.02,broken clouds
195,Ibra,OM,22.6906,58.5334,80.51,16,0,6.71,clear sky
196,Marawi,PH,7.9986,124.2928,69.31,93,53,1.79,light rain
197,Port Keats,AU,-14.25,129.55,83.41,70,97,3.62,overcast clouds
198,Rulenge,TZ,-2.7175,30.6325,73.69,76,85,3.09,light rain
199,Lavrentiya,RU,65.5833,-171,-11.45,80,11,7.05,few clouds
200,Mersin,TR,36.862,34.6509,42.73,37,91,9.75,overcast clouds
201,Samur,RU,41.8253,48.486,37.63,95,100,5.5,overcast clouds
202,Lakes Entrance,AU,-37.8811,147.981,53.17,88,2,6.35,clear sky
203,Romanovka,RU,51.7443,42.7527,21.87,93,30,4.41,scattered clouds
204,Nhulunbuy,AU,-12.2333,136.7667,81.21,89,13,4.61,few clouds
205,Mahibadhoo,MV,3.7833,72.9667,83.08,73,9,16.33,clear sky
206,Cooma,AU,-36.2333,149.1333,55.17,94,100,4.61,overcast clouds
207,Bandarbeyla,SO,9.4942,50.8122,79.12,69,0,10.13,clear sky
208,Marzuq,YE,14.4,46.4667,76.03,33,3,8.66,clear sky
209,Novoseleznevo,RU,55.6821,69.2056,12.27,95,43,9.55,scattered clouds
210,Bafata,GW,12.1667,-14.75,108.27,8,18,2.39,few clouds
211,Almaznyy,RU,48.0448,40.045,29.7,46,1,13.49,clear sky
212,Christchurch,NZ,-43.5333,172.6333,59.95,81,75,2.3,haze
213,Vostok,RU,46.4856,135.8833,9.72,98,91,1.72,overcast clouds
214,Arrifes,PT,37.7667,-25.7,56.23,62,40,16.11,scattered clouds
215,Tapes,BR,-30.6733,-51.3958,70.7,66,88,15.68,overcast clouds
216,Saint-Joseph,RE,-21.3667,55.6167,79.21,85,100,6.67,light rain
217,Horsham,GB,51.064,-0.3272,59.49,48,0,19.57,clear sky
218,Pacific Grove,US,36.6177,-121.9166,53.28,88,100,5.99,overcast clouds
219,Kanker,IN,20.2719,81.4931,84.36,25,94,3.13,overcast clouds
220,Taree,AU,-31.9,152.4667,64.33,77,100,8.05,overcast clouds
221,Pedernales,DO,18.0384,-71.744,84.18,49,53,2.42,broken clouds
222,Thessalon,CA,46.2501,-83.5666,35.89,96,100,7,light rain
223,Poum,NC,-20.2333,164.0167,76.14,95,100,18.23,light rain
224,Rocha,UY,-34.4833,-54.3333,65.28,42,7,14.54,clear sky
225,Krasnokamensk,RU,50.0979,118.0369,10.04,93,100,3.51,overcast clouds
